epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,1.1120063564141591,0.689,0.41124200196266175,0.8598,-0.17080000000000006
2,0.2942904126167297,0.91075,0.22245720853805542,0.9312,-0.02045000000000008
3,0.19718773069381715,0.9405833333333333,0.13999136428534983,0.9588,-0.01821666666666666
4,0.1443394193291664,0.9563166666666667,0.16084028828144073,0.9495,0.006816666666666693
5,0.11528254756232102,0.96535,0.09914749861806631,0.9707,-0.005349999999999966
6,0.09859020677904289,0.9699833333333333,0.095302745103091,0.9699,8.333333333332416e-05
7,0.08651462097962698,0.9736833333333333,0.07188667517900467,0.9779,-0.004216666666666646
8,0.07783960958917936,0.9766666666666667,0.06880952820461243,0.9789,-0.0022333333333333094
9,0.07043502756456534,0.97805,0.06121577881127596,0.9803,-0.0022499999999999742
10,0.06554907307326793,0.9799333333333333,0.0564162314530462,0.9823,-0.002366666666666628
11,0.06037856259842714,0.9814833333333334,0.05523773151431233,0.9824,-0.0009166666666666767
12,0.056287858973940216,0.9825833333333334,0.06718230153126642,0.9776,0.00498333333333334
13,0.05331531422833602,0.9839666666666667,0.054304944030568,0.9829,0.0010666666666666602
14,0.049798891584451,0.9847,0.05002265466162935,0.9839,0.0008000000000000229
15,0.047496715909490984,0.9856333333333334,0.048742890956625345,0.9842,0.0014333333333333975
16,0.04481054326569041,0.9864833333333334,0.04548697148696519,0.9847,0.001783333333333359
17,0.042637838498254615,0.9871,0.044157209888799114,0.9855,0.0015999999999999348
18,0.04015764475502074,0.98765,0.046234182044304906,0.9854,0.0022499999999999742
19,0.03858057067679862,0.9879333333333333,0.04154799384493381,0.9862,0.0017333333333333645
20,0.03640022725810607,0.9891833333333333,0.03928764150845818,0.9868,0.002383333333333293
21,0.034577692071783045,0.9900833333333333,0.036571328532742337,0.9875,0.002583333333333271
22,0.03360987525954843,0.9898666666666667,0.03677930337972939,0.9884,0.0014666666666667272
23,0.03224086610879749,0.9903333333333333,0.040132514432678,0.9868,0.0035333333333332773
24,0.03087522419268886,0.9906333333333334,0.04065121292283293,0.9867,0.003933333333333344
25,0.029901683046979207,0.99105,0.036761575929052194,0.9874,0.003649999999999931
26,0.028764518680796027,0.9908,0.035143297404702754,0.9884,0.0024000000000000687
27,0.027945754508363705,0.9913,0.03594121171296574,0.9886,0.0026999999999999247
28,0.02642308153367291,0.99185,0.03700164507235167,0.9872,0.004650000000000043
29,0.025464045814766238,0.9924,0.03682506657275371,0.9877,0.0046999999999999265
30,0.024353727467233938,0.9929333333333333,0.040149416768411175,0.9873,0.005633333333333379
