run_name,final_train_accuracy,final_val_accuracy,final_gap,peak_val_accuracy,overfit_label
run_001,0.9929333333333332,0.9873,0.005633333333333268,0.9886,1
run_002,1.0,0.9644,0.035599999999999965,0.9661,1
run_003,0.8906666666666667,0.8923,-0.0016333333333332645,0.8923,0
run_004,0.9780166666666666,0.9863,-0.00828333333333331,0.9863,0
run_005,0.9676666666666668,0.9792,-0.011533333333333173,0.9792,0
run_006,0.9737166666666668,0.9834,-0.009683333333333266,0.9834,0
run_007,0.9776166666666668,0.9856,-0.007983333333333231,0.9856,0
run_008,0.82,0.8116,0.008399999999999963,0.8116,0
